STAGE 1 -- all inequivalent 3 x weight-8 classes

raw solutions 10341, inequivalent classes 1057

idx    |U_3|     minwt   raw        column-type counts
249    11336     6       3          1 0 0 0 0 0 1 5 1 1 0 4 0 0 1 
250    11336     6       3          1 0 0 1 0 1 1 3 0 0 0 2 1 1 3 
251    11336     6       3          1 0 0 0 0 1 1 4 1 0 0 3 3 0 0 
252    11336     6       3          1 0 0 1 0 1 4 0 0 0 1 1 0 4 1 
253    11336     6       3          1 0 0 0 0 0 1 5 1 5 0 0 0 0 1 
254    11336     6       3          0 0 0 2 1 1 1 4 0 0 0 2 1 1 1 
255    11336     6       3          0 0 0 1 1 1 1 5 1 0 0 3 1 0 0 
256    11336     6       3          0 0 0 2 0 2 2 3 0 0 0 0 1 1 3 
257    11336     6       3          0 0 0 1 0 1 2 5 1 1 0 2 0 0 1 
258    11336     6       6          0 0 0 1 0 2 2 4 1 0 0 1 1 0 2 
259    11338     6       48         3 0 0 1 0 1 2 1 0 2 1 1 1 1 0 
260    11338     6       48         3 0 0 1 0 1 1 2 0 2 4 0 0 0 0 
261    11338     6       24         3 0 0 1 0 1 1 2 0 2 2 2 0 0 0 
262    11338     6       24         3 0 0 1 0 1 1 2 0 2 2 0 2 0 0 
263    11338     6       48         3 0 0 1 0 1 1 2 0 2 2 0 0 0 2 
264    11338     6       24         3 0 0 0 1 1 1 2 1 1 1 3 0 0 0 
265    11338     6       24         3 0 0 0 0 1 2 2 3 0 1 0 1 0 1 
266    11338     6       24         3 0 0 0 0 1 2 2 1 2 1 0 1 0 1 
267    11338     6       24         3 0 0 0 0 0 2 3 1 3 1 1 0 0 0 
268    11338     6       12         0 1 1 2 2 3 3 2 0 0 0 0 0 0 0 
269    11338     6       48         1 0 1 2 1 2 3 2 0 2 0 0 0 0 0 
270    11338     6       24         2 0 1 1 1 2 1 2 0 1 1 0 0 1 1 
271    11338     6       12         2 0 1 1 1 1 2 2 0 4 0 0 0 0 0 
272    11338     6       48         2 0 1 1 1 1 2 2 0 2 0 0 0 2 0 
273    11338     6       12         2 0 1 1 1 1 2 2 0 2 0 0 0 0 2 
274    11338     6       12         2 0 0 2 1 2 2 1 0 1 1 0 0 1 1 
275    11338     6       24         2 0 0 2 1 1 1 3 0 2 2 0 0 0 0 
276    11338     6       24         2 0 0 2 0 2 2 2 0 2 2 0 0 0 0 
277    11338     6       24         2 0 0 1 1 2 3 1 1 1 0 0 1 1 0 
278    11338     6       24         2 0 0 1 1 2 2 2 1 1 1 1 0 0 0 
279    11338     6       12         3 0 0 1 1 1 1 1 0 1 1 0 2 1 1 
280    11338     6       12         4 0 0 0 0 0 1 1 0 2 1 1 1 1 2 
281    11338     6       24         4 0 0 0 0 0 0 2 0 2 2 4 0 0 0 
282    11338     6       24         4 0 0 0 0 0 0 2 0 2 2 2 0 0 2 
283    11338     6       24         3 0 0 1 1 1 1 1 0 1 1 0 0 1 3 
284    11338     6       12         1 0 0 1 2 3 3 2 2 0 0 0 0 0 0 
285    11338     6       12         3 0 0 1 0 2 2 0 0 1 1 0 2 1 1 
286    11338     6       12         1 1 1 1 1 1 3 3 0 2 0 0 0 0 0 
287    11338     6       12         1 1 1 1 2 2 2 2 0 0 0 0 0 0 2 
288    11338     6       48         2 0 0 2 1 1 1 3 2 0 2 0 0 0 0 
289    11338     6       24         3 0 0 0 1 1 1 2 1 1 1 1 0 0 2 
290    11338     6       12         2 0 0 0 1 1 3 3 2 2 0 0 0 0 0 
291    11338     6       12         2 0 0 0 2 2 2 2 2 0 0 0 0 0 2 
292    11338     6       12         4 0 0 0 0 0 1 1 0 4 1 1 1 1 0 
293    11338     6       48         4 0 0 0 0 0 1 1 0 2 1 1 1 3 0 
294    11338     6       12         2 0 0 0 1 1 3 3 4 0 0 0 0 0 0 
295    11338     6       24         3 0 0 1 0 1 3 0 0 2 0 0 2 2 0 
296    11350     8       6          1 0 0 1 0 1 1 2 0 0 4 0 0 2 2 
297    11350     8       3          1 0 0 1 0 1 1 2 0 0 4 0 2 2 0 
298    11350     8       6          1 0 0 1 0 1 1 2 0 0 4 2 0 2 0 
299    11350     8       6          1 0 0 1 0 1 2 1 0 0 1 1 1 3 2 
300    11350     8       3          1 0 0 1 0 1 2 1 0 0 1 1 3 3 0 
301    11350     8       6          1 0 0 1 0 1 2 1 0 0 3 1 1 3 0 
302    11350     8       6          1 0 0 1 0 1 3 0 0 0 0 0 2 4 2 
303    11350     8       3          1 0 0 1 0 1 3 0 0 0 0 0 4 4 0 
304    11350     8       6          0 0 0 2 1 1 2 2 0 0 1 1 1 3 0 
305    11350     8       6          1 0 0 1 0 1 3 0 0 0 2 0 2 4 0 
306    11350     8       6          1 0 0 1 0 1 3 0 0 2 0 0 0 4 2 
307    11350     8       3          0 0 0 2 1 1 2 2 0 0 1 1 1 1 2 
308    11350     8       3          2 0 0 0 0 0 1 1 0 0 1 3 3 3 0 
309    11350     8       3          2 0 0 0 0 0 1 1 0 0 1 3 1 3 2 
310    11350     8       6          0 0 0 0 0 2 2 4 2 0 2 2 0 0 0 
311    11350     8       6          0 0 0 0 0 2 2 4 2 0 4 0 0 0 0 
312    11350     8       3          0 0 0 0 0 2 2 4 4 0 0 2 0 0 0 
313    11350     8       3          0 0 0 0 0 2 2 4 6 0 0 0 0 0 0 
314    11350     8       3          0 0 0 0 0 2 3 3 2 0 1 1 1 1 0 
315    11350     8       3          1 0 0 1 0 2 2 0 0 1 1 0 0 3 3 
316    11350     8       6          0 0 0 2 1 1 1 3 4 0 0 0 0 0 2 
317    11350     8       6          0 0 0 2 1 1 1 3 2 0 0 2 0 0 2 
318    11350     8       6          0 0 0 2 1 1 1 3 0 0 4 2 0 0 0 
319    11350     8       3          2 0 0 0 0 0 0 2 0 0 4 4 0 2 0 
320    11350     8       3          2 0 0 0 0 0 0 2 0 0 2 4 2 2 0 
321    11350     8       6          2 0 0 0 0 0 0 2 0 0 2 4 0 2 2 
