q,n,k,d,lower_bound,upper_bound,label,n_rows,spectrum,avg_weight,max_weight,x_value,rate_R,delta_avg,delta_max,H_delta_avg,H_delta_max,C,C_prime,n_constructions,matrix_label,code_type,kn,D,peak,past_peak,uniform,spread,H_gap
2,40,38,2,2,2,"[[40,38,2]]_2",2,{40: 2},40.0,40,12157665459056928801,0.792481250360578,1.0,1.0,0.7924812503605781,0.7924812503605781,1.1102230246251565e-16,1.1102230246251565e-16,1,stabilizer matrix,Semi-Perfect Quantum Code,0.95,0.0,0.75,True,True,0.0,0.0
2,41,31,4,4,4,"[[41,31,4]]_2",10,"{30: 8, 32: 2}",30.4,32,1299698900380834924562397,0.9768835574622345,0.7414634146341463,0.7804878048780488,0.999860864324287,0.9981598438955807,0.021276286433346114,0.02297730686205246,1,stabilizer matrix,Semi-Perfect Quantum Code,0.7560975609756098,0.0017010204287063457,0.75,True,False,0.039024390243902474,0.0017010204287063457
2,42,34,3,3,3,"[[42,34,3]]_2",8,"{28: 2, 30: 2, 32: 4}",30.5,32,6212654230403305341361485,0.9804938576144482,0.7261904761904762,0.7619047619047619,0.9989313897426134,0.9997244146537061,0.01923055703925791,0.018437532128165235,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8095238095238095,-0.0007930249110926768,0.75,True,False,0.03571428571428571,-0.0007930249110926768
2,42,40,2,2,2,"[[42,40,2]]_2",2,{42: 2},42.0,42,109418989131512359209,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9523809523809523,0.0,0.75,True,True,0.0,0.0
2,43,35,3,3,3,"[[43,35,3]]_2",8,"{30: 4, 32: 4}",31.0,32,18189428862824199026909541,0.9757128211177225,0.7209302325581395,0.7441860465116279,0.9984137946965006,0.9999353101192667,0.024222489001544223,0.022700973578778094,1,stabilizer matrix,Semi-Perfect Quantum Code,0.813953488372093,-0.0015215154227661287,0.75,False,False,0.023255813953488372,-0.0015215154227661287
2,44,36,3,3,3,"[[44,36,3]]_2",8,"{28: 2, 32: 2, 34: 4}",32.0,34,89994928936594666784434569,0.9797505236644227,0.7272727272727273,0.7727272727272727,0.999025468573457,0.9989852124224458,0.019234688758023033,0.019274944909034253,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8181818181818182,4.025615101121982e-05,0.75,True,False,0.045454545454545456,4.025615101121982e-05
2,44,42,2,2,2,"[[44,42,2]]_2",2,{44: 2},44.0,44,984770902183611232881,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9545454545454546,0.0,0.75,True,True,0.0,0.0
2,45,37,3,3,3,"[[45,37,3]]_2",8,"{28: 2, 30: 2, 32: 2, 34: 2}",31.0,34,400805127813717200260732941,0.9819225714805501,0.6888888888888889,0.7555555555555555,0.9931574702932402,0.9999403327981431,0.01801776131759303,0.01123489881269013,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8222222222222222,-0.006782862504902898,0.75,True,False,0.06666666666666667,-0.006782862504902898
2,46,38,3,3,3,"[[46,38,3]]_2",8,"{32: 2, 34: 4, 36: 2}",34.0,36,1705255702354913634172418841,0.9832831157492018,0.7391304347826086,0.782608695652174,0.9997748738258314,0.9978904239542103,0.014607308205008551,0.016491758076629615,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8260869565217391,0.0018844498716210634,0.75,True,False,0.043478260869565216,0.0018844498716210634
2,46,44,2,2,2,"[[46,44,2]]_2",2,{46: 2},46.0,46,8862938119652501095929,0.792481250360578,1.0,1.0,0.7924812503605781,0.7924812503605781,1.1102230246251565e-16,1.1102230246251565e-16,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9565217391304348,0.0,0.75,True,True,0.0,0.0
2,47,39,3,3,3,"[[47,39,3]]_2",8,"{32: 2, 34: 4, 36: 2}",34.0,36,6353071867215950423530010571,0.9825480095876999,0.723404255319149,0.7659574468085106,0.998669660798112,0.9995029595518837,0.016954949964183785,0.01612165121041209,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8297872340425532,-0.000833298753771694,0.75,True,False,0.0425531914893617,-0.000833298753771694
2,48,40,3,3,3,"[[48,40,3]]_2",8,"{34: 6, 36: 2}",34.5,36,18500621943920774738626666188,0.9781412544598543,0.71875,0.75,0.9981701174108513,1.0,0.021858745540145663,0.02002886295099693,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8333333333333334,-0.0018298825891487347,0.75,False,False,0.03125,-0.0018298825891487347
2,48,46,2,2,2,"[[48,46,2]]_2",2,{48: 2},48.0,48,79766443076872509863361,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.9583333333333334,0.0,0.75,True,True,0.0,0.0
2,49,41,3,3,3,"[[49,41,3]]_2",8,"{34: 4, 36: 2, 38: 2}",35.5,38,105048916679905066598330221236,0.9837446534284229,0.7244897959183674,0.7755102040816326,0.9987749705675838,0.9987180007467615,0.014973347318338659,0.01503031713916092,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8367346938775511,5.696982082226132e-05,0.75,True,False,0.05102040816326531,5.696982082226132e-05
2,50,42,3,3,3,"[[50,42,3]]_2",8,"{34: 2, 36: 2, 38: 2, 40: 2}",37.0,40,511758718139673998260799566545,0.9869137852643161,0.74,0.8,0.9998093115131368,0.9949490477321438,0.008035262467827708,0.012895526248820732,1,stabilizer matrix,Semi-Perfect Quantum Code,0.84,0.004860263780993024,0.75,True,False,0.06,0.004860263780993024
2,50,48,2,2,2,"[[50,48,2]]_2",2,{50: 2},50.0,50,717897987691852588770249,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.96,0.0,0.75,True,True,0.0,0.0
