q,n,M,usable
3,80,0.011445943978749096,True
3,81,0.011309564526820748,True
3,82,0.011176384687046736,True
3,83,0.007159992584788832,True
3,84,0.007092291845722132,True
3,85,0.010794959558617201,True
3,86,0.010673518950534588,True
3,87,0.006895585748110333,True
3,88,0.006832081869025175,True
3,89,0.01032500670310832,True
3,90,0.010213824017739292,True
3,91,0.01010500337652942,True
3,92,-1.1102230246251565e-16,False
3,93,0.004458926175101907,True
3,94,0.002694246012472812,True
3,95,0.0027473436697152964,True
3,96,0.004046049063746948,True
3,97,0.003373584144904851,True
3,98,0.0037497601288730698,True
3,99,0.00245875169370513,True
3,100,0.0021022912403666494,True
4,2,0.0,False
4,3,0.0,False
4,4,0.07781953111478324,True
4,5,0.06438561897747253,True
4,6,0.06678685036326737,True
4,7,0.047655518857810275,True
4,8,0.05258968980048295,True
4,9,0.052009585658656876,True
4,10,0.049881510672014184,True
4,11,0.03961506996601816,True
4,12,0.03658072792545419,True
4,13,0.026648588635369896,True
4,14,0.03170757607060515,True
4,15,0.023224990495213316,True
4,16,0.027970945243516065,True
4,17,0.029700308149237298,True
4,18,0.025017530323180104,True
4,19,0.0002653246574253476,True
4,20,0.0,False
4,21,0.002446595598856516,True
4,22,0.003966891862099531,True
4,23,0.00263173583786791,True
4,24,0.0010695386461542222,True
4,25,0.0031821708600742182,True
4,26,0.0028636093746308156,True
4,27,0.0059505128807628704,True
4,28,0.0023571934760613367,True
4,29,0.003426922845998659,True
4,30,0.0003350096947456471,True
4,31,0.0018655067312578488,True
4,32,0.008493652671455854,True
4,33,0.005440289208955673,True
4,34,0.001781657572338724,True
4,35,0.001507126310014817,True
4,36,0.0019904613107323277,True
4,37,0.002521934403038939,True
4,38,0.004146237745091819,True
4,39,0.006652891460743993,True
4,40,0.007851162739049067,True
4,41,0.0028749156741493254,True
4,42,0.001767764056042842,True
4,43,0.004613328010113715,True
4,44,0.0017922750380141572,True
4,45,0.00332566361557296,True
4,46,0.003206748395944592,True
4,47,0.0018690632770573812,True
4,48,0.003404883105615153,True
4,49,0.0033372679355558876,True
4,50,0.002103980467787925,True
4,51,0.0032933117674427415,True
4,52,0.0033085357870932253,True
4,53,0.002779695432496565,True
4,54,0.005829848462813092,True
4,55,0.0028097452124504763,True
4,56,0.0031874291608167127,True
4,57,0.0037210886262891707,True
4,58,0.005423252336996032,True
4,59,-1.1102230246251565e-16,False
4,60,0.005336245593386302,True
4,61,0.0,False
4,62,1.1102230246251565e-16,False
4,63,0.009160926991305662,True
4,64,0.009020754659220254,True
4,65,1.1102230246251565e-16,False
4,66,-1.1102230246251565e-16,False
4,67,0.0,False
4,68,0.0016633233797159752,True
4,69,0.0032740302874991745,True
4,70,0.0021233241537401693,True
4,71,0.0038539348789118355,True
4,72,0.004259887762793402,True
4,73,0.009157699655168328,True
4,74,0.0029698957475217114,True
4,75,0.0029516295149477623,True
4,76,0.0032605264358315234,True
4,77,0.00232516468690136,True
4,78,0.0029550590179056035,True
4,79,0.0011901092853909834,True
4,80,0.0020378796058942994,True
4,81,0.0020945736860011888,True
4,82,0.002944854945129083,True
4,83,0.004270174676685445,True
4,84,0.0059160451903580435,True
4,85,0.0033284118833676324,True
4,86,0.008053722255754847,True
4,87,0.005117087322549341,True
4,88,0.003836275359551,True
4,89,0.0032523016750558575,True
4,90,0.0024368433087691432,True
4,91,0.007387253669859817,True
4,92,0.004724441518602074,True
4,93,0.0030350717706699726,True
4,94,0.005157923882960658,True
4,95,0.004164643954822078,True
4,96,0.003915681134320392,True
4,97,0.0027325293557748376,True
4,98,0.0028529631306773995,True
4,99,0.0030803710264636353,True
4,100,0.0030558118037061766,True
5,2,0.0,False
5,3,-1.1102230246251565e-16,False
5,4,0.06703009562280027,True
5,5,0.05545875354128571,True
5,6,0.05752706167802957,True
5,7,0.05074374429287387,True
5,8,0.049207948810070734,True
5,9,0.04479861867658719,True
5,10,0.04296559465544847,True
5,11,0.037831766015654966,True
5,12,0.037114724077822125,True
5,13,0.03588330034102316,True
5,14,0.034469585087140486,True
5,15,0.03190234811252135,True
5,16,0.03100491399039218,True
5,17,0.03000509291706077,True
5,18,0.028976276499477094,True
5,19,0.023068196986027023,True
5,20,0.021985908928146336,True
5,21,0.02099976661585712,True
5,22,0.020097626480100494,True
