target,regime,q,features,n_features,R2,rmse,n_codes
C',past entropy peak,pooled,"n, k",5,0.6689721638641026,0.00386308207884095,1130
C',past entropy peak,pooled,"n, k + delta",7,0.8027182238741115,0.002982257659837074,1130
C',past entropy peak,pooled,"n, q",4,0.29804339721687323,0.005625444053324621,1130
C',past entropy peak,pooled,"n, k, q",8,0.7183091152267611,0.003563592818579617,1130
C',past entropy peak,pooled,"n, k, q + delta",9,0.8135311434068783,0.002899377951816519,1130
C'-C,all semi-perfect,2,n only,2,0.04047402509635811,0.009771444127641223,384
C'-C,all semi-perfect,2,"n, k",5,0.6247519359093163,0.0061106810400376734,384
C'-C,all semi-perfect,2,"n, k + delta",7,0.7285224468120663,0.005197534111885347,384
C'-C,all semi-perfect,3,n only,2,0.018704192592614466,0.0028690823082177736,249
C'-C,all semi-perfect,3,"n, k",5,0.05178414200323911,0.0028203086727165397,249
C'-C,all semi-perfect,3,"n, k + delta",7,0.11608541348803769,0.0027230034161267193,249
C'-C,all semi-perfect,4,n only,2,0.006541683650963082,0.0022131949185009046,236
C'-C,all semi-perfect,4,"n, k",5,0.04504921986793031,0.0021698780844274586,236
C'-C,all semi-perfect,4,"n, k + delta",7,0.055560813315196245,0.0021579026027633,236
C'-C,all semi-perfect,5,n only,2,0.03935191408295424,0.0008373204167498147,245
C'-C,all semi-perfect,5,"n, k",5,0.04815876371158345,0.0008334734649492783,245
C'-C,all semi-perfect,5,"n, k + delta",7,0.14400352206572087,0.0007903974108137317,245
C'-C,all semi-perfect,7,n only,2,0.039251096119747864,0.0004082076643380919,353
C'-C,all semi-perfect,7,"n, k",5,0.042383432150789435,0.00040754167998727805,353
C'-C,all semi-perfect,7,"n, k + delta",7,0.4735777553730124,0.0003021644182266334,353
C'-C,all semi-perfect,8,n only,2,0.06304716766810614,0.0002842557848422497,442
C'-C,all semi-perfect,8,"n, k",5,0.08325324475023366,0.00028117398641625745,442
C'-C,all semi-perfect,8,"n, k + delta",7,0.8551512233924434,0.00011176552520197112,442
C'-C,all semi-perfect,pooled,n only,2,0.006470261556196899,0.004664096122564816,1909
C'-C,all semi-perfect,pooled,"n, k",5,0.1442577654636139,0.004328610814537958,1909
C'-C,all semi-perfect,pooled,"n, k + delta",7,0.18910594196800257,0.004213656374102877,1909
C'-C,all semi-perfect,pooled,"n, q",4,0.026243041013856216,0.0046174515156246175,1909
C'-C,all semi-perfect,pooled,"n, k, q",8,0.21702068259438634,0.004140494402388284,1909
C'-C,all semi-perfect,pooled,"n, k, q + delta",9,0.2130142202945361,0.004151074227146024,1909
C'-C,below entropy peak,2,n only,2,0.1930759925535972,0.02338045563183108,41
C'-C,below entropy peak,2,"n, k",5,0.871352207490323,0.009335505114270882,41
C'-C,below entropy peak,2,"n, k + delta",7,0.9804338013804055,0.003640741807037312,41
C'-C,below entropy peak,3,n only,2,0.22448489591568577,0.00229298880926929,80
