q,n,k,d,label,delta_avg,delta_max,C,C_prime,D,past_peak,uniform
2,88,79,3,"[[88,79,3]]_2",0.7373737373737373,0.7727272727272727,0.008079209457277914,0.008790676179358026,0.0007114667220801119,True,False
2,88,86,2,"[[88,86,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,89,80,3,"[[89,80,3]]_2",0.7265917602996255,0.797752808988764,0.004003223167699077,0.0075659619854611115,0.0035627388177620345,True,False
2,90,81,3,"[[90,81,3]]_2",0.7358024691358025,0.7555555555555555,0.01103579690280776,0.010712461845297394,-0.0003233350575103655,True,False
2,90,88,2,"[[90,88,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,91,82,3,"[[91,82,3]]_2",0.7667887667887667,0.8351648351648352,-0.006518530854171534,0.008202219624865004,0.014720750479036537,True,False
2,92,83,3,"[[92,83,3]]_2",0.7342995169082126,0.7608695652173914,0.010410976937958227,0.010172705316435104,-0.00023827162152312287,True,False
2,92,90,2,"[[92,90,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,93,84,3,"[[93,84,3]]_2",0.7120669056152927,0.7741935483870968,0.005214692326679926,0.003684107967450778,-0.001530584359229148,True,False
2,94,85,3,"[[94,85,3]]_2",0.739952718676123,0.7659574468085106,0.009806599796908788,0.010111152086441755,0.00030455228953296665,True,False
2,94,92,2,"[[94,92,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,95,86,3,"[[95,86,3]]_2",0.7251461988304093,0.8,0.0040247126585963855,0.007912248605079664,0.003887535946483278,True,False
2,96,87,3,"[[96,87,3]]_2",0.7384259259259259,0.75,0.013073617519650194,0.012818515807564212,-0.0002551017120859811,False,False
2,96,94,2,"[[96,94,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,97,88,3,"[[97,88,3]]_2",0.711340206185567,0.7835051546391752,0.002568859225994702,0.0020136739667769854,-0.0005551852592177164,True,False
2,98,89,3,"[[98,89,3]]_2",0.7551020408163265,0.7755102040816326,0.008656879259188899,0.009888575975723013,0.0012316967165341142,True,False
2,98,96,2,"[[98,96,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,99,90,3,"[[99,90,3]]_2",0.7295173961840629,0.797979797979798,0.0007046524459082271,0.004552555138418568,0.003847902692510341,True,False
2,100,91,3,"[[100,91,3]]_2",0.74,0.76,0.009836499804468879,0.00983992135130518,3.421546836301914e-06,True,False
2,100,98,2,"[[100,98,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,101,92,3,"[[101,92,3]]_2",0.7315731573157316,0.7920792079207921,0.0016349184156243535,0.004539317162463474,0.002904398746839121,True,False
2,102,93,3,"[[102,93,3]]_2",0.7450980392156863,0.7647058823529411,0.007994846837568237,0.008370456610803156,0.0003756097732349195,True,False
2,102,100,2,"[[102,100,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,103,94,3,"[[103,94,3]]_2",0.7130528586839266,0.7669902912621359,0.004981747532049163,0.0029992580556493786,-0.0019824894763997847,True,False
2,104,95,3,"[[104,95,3]]_2",0.7521367521367522,0.7884615384615384,0.0071862902105701565,0.010129915121660837,0.002943624911090681,True,False
2,104,102,2,"[[104,102,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,105,96,3,"[[105,96,3]]_2",0.7111111111111111,0.7619047619047619,0.007731656528247033,0.005190275453187176,-0.0025413810750598564,True,False
2,106,97,3,"[[106,97,3]]_2",0.7442348008385744,0.7735849056603774,0.00678662722397394,0.007816746896926241,0.001030119672952301,True,False
