Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)
  E383    = IYIIIIIZIIIIZI
  E384    = IZIIIIIZIIIIZI
  E385    = IXIIIIIYIIIIIX
  E386    = IYIIIIIYIIIIIX
  E387    = IZIIIIIYIIIIIX
  E388    = IXIIIIIIXXIIII
  E389    = IYIIIIIIXXIIII
  E390    = IZIIIIIIXXIIII
  E391    = IXIIIIIIYYIIII
  E392    = IYIIIIIIYYIIII
  E393    = IZIIIIIIYYIIII
  E394    = IXIIIIIIZZIIII
  E395    = IYIIIIIIZZIIII
  E396    = IZIIIIIIZZIIII
  E397    = IXIIIIIIZIZIII
  E398    = IYIIIIIIZIZIII
  E399    = IZIIIIIIZIZIII
  E400    = IXIIIIIIZIIZII
  E401    = IYIIIIIIZIIZII
  E402    = IZIIIIIIZIIZII
  E403    = IXIIIIIIXIIIXI
  E404    = IYIIIIIIXIIIXI
  E405    = IZIIIIIIXIIIXI
  E406    = IXIIIIIIYIIIIX
  E407    = IYIIIIIIYIIIIX
  E408    = IZIIIIIIYIIIIX
  E409    = IXIIIIIIIZZIII
  E410    = IYIIIIIIIZZIII
  E411    = IZIIIIIIIZZIII
  E412    = IXIIIIIIIZIZII
  E413    = IYIIIIIIIZIZII
  E414    = IZIIIIIIIZIZII
  E415    = IXIIIIIIIXIIXI
  E416    = IYIIIIIIIXIIXI
  E417    = IZIIIIIIIXIIXI
  E418    = IXIIIIIIIYIIIX
  E419    = IYIIIIIIIYIIIX
  E420    = IZIIIIIIIYIIIX
  E421    = IXIIIIIIIIXXII
  E422    = IYIIIIIIIIXXII
  E423    = IZIIIIIIIIXXII
  E424    = IXIIIIIIIIYYII
  E425    = IYIIIIIIIIYYII
  E426    = IZIIIIIIIIYYII
  E427    = IXIIIIIIIIZZII
  E428    = IYIIIIIIIIZZII
  E429    = IZIIIIIIIIZZII
  E430    = IXIIIIIIIIYIYI
  E431    = IYIIIIIIIIYIYI
  E432    = IZIIIIIIIIYIYI
  E433    = IXIIIIIIIIYIIY
  E434    = IYIIIIIIIIYIIY
  E435    = IZIIIIIIIIYIIY
  E436    = IXIIIIIIIIIYYI
  E437    = IYIIIIIIIIIYYI
  E438    = IZIIIIIIIIIYYI
  E439    = IXIIIIIIIIIYIY
  E440    = IYIIIIIIIIIYIY
  E441    = IZIIIIIIIIIYIY
  E442    = IXIIIIIIIIIIYY
  E443    = IYIIIIIIIIIIYY
  E444    = IZIIIIIIIIIIYY
  E445    = IIXXXIIIIIIIII
  E446    = IIYXXIIIIIIIII
  E447    = IIZXXIIIIIIIII
  E448    = IIXYXIIIIIIIII
  E449    = IIYYXIIIIIIIII
  E450    = IIZYXIIIIIIIII
  E451    = IIXZXIIIIIIIII
  E452    = IIYZXIIIIIIIII
  E453    = IIZZXIIIIIIIII
  E454    = IIXXIXIIIIIIII
  E455    = IIYXIXIIIIIIII
  E456    = IIZXIXIIIIIIII
  E457    = IIXYIXIIIIIIII
  E458    = IIYYIXIIIIIIII
  E459    = IIZYIXIIIIIIII
  E460    = IIXZIXIIIIIIII
  E461    = IIYZIXIIIIIIII
  E462    = IIZZIXIIIIIIII
  E463    = IIXIXXIIIIIIII
  E464    = IIYIXXIIIIIIII
  E465    = IIZIXXIIIIIIII
  E466    = IIXIYIZIIIIIII
  E467    = IIYIYIZIIIIIII
  E468    = IIZIYIZIIIIIII
  E469    = IIXIZIZIIIIIII
  E470    = IIYIZIZIIIIIII
  E471    = IIZIZIZIIIIIII
  E472    = IIXIYIIIIIIIIZ
  E473    = IIYIYIIIIIIIIZ
  E474    = IIZIYIIIIIIIIZ
  E475    = IIXIZIIIIIIIIZ
  E476    = IIYIZIIIIIIIIZ
  E477    = IIZIZIIIIIIIIZ
  E478    = IIXIIYIZIIIIII
  E479    = IIYIIYIZIIIIII
  E480    = IIZIIYIZIIIIII
  E481    = IIXIIZIZIIIIII
  E482    = IIYIIZIZIIIIII
  E483    = IIZIIZIZIIIIII
  E484    = IIXIIYIIIIIIZI
  E485    = IIYIIYIIIIIIZI
  E486    = IIZIIYIIIIIIZI
  E487    = IIXIIZIIIIIIZI
  E488    = IIYIIZIIIIIIZI
  E489    = IIZIIZIIIIIIZI
  E490    = IIXIIIXXIIIIII
  E491    = IIYIIIXXIIIIII
  E492    = IIZIIIXXIIIIII
  E493    = IIXIIIYIXIIIII
  E494    = IIYIIIYIXIIIII
  E495    = IIZIIIYIXIIIII
  E496    = IIXIIIYIIXIIII
  E497    = IIYIIIYIIXIIII
  E498    = IIZIIIYIIXIIII
  E499    = IIXIIIXIIIXIII
  E500    = IIYIIIXIIIXIII
  E501    = IIZIIIXIIIXIII
  E502    = IIXIIIXIIIIXII
  E503    = IIYIIIXIIIIXII
  E504    = IIZIIIXIIIIXII
  E505    = IIXIIIYIIIIIXI
  E506    = IIYIIIYIIIIIXI
  E507    = IIZIIIYIIIIIXI
  E508    = IIXIIIZIIIIIIZ
  E509    = IIYIIIZIIIIIIZ
  E510    = IIZIIIZIIIIIIZ
  E511    = IIXIIIIYYIIIII
  E512    = IIYIIIIYYIIIII
  E513    = IIZIIIIYYIIIII
  E514    = IIXIIIIYIYIIII
  E515    = IIYIIIIYIYIIII
  E516    = IIZIIIIYIYIIII
  E517    = IIXIIIIXIIXIII
  E518    = IIYIIIIXIIXIII
  E519    = IIZIIIIXIIXIII
  E520    = IIXIIIIXIIIXII
  E521    = IIYIIIIXIIIXII
  E522    = IIZIIIIXIIIXII
  E523    = IIXIIIIZIIIIZI
  E524    = IIYIIIIZIIIIZI
  E525    = IIZIIIIZIIIIZI
